Vehicle_Make,Vehicle_Model,Vehicle_Year,Vehicle_Value,Severity,Damage_Type,Num_Vehicles_Involved,Road_Type,Time_Hour,Injuries,Repair_Cost,Medical_Cost,Total_Cost
Mercedes-Benz,C-Class,2018,15767,2,Moderate,3,Urban,8,2,12568,10379,36781
Mercedes-Benz,C-Class,2018,22013,3,Severe,3,Residential,14,4,36132,14684,79124
Hyundai,Elantra,2019,9608,3,Moderate,1,Highway,11,2,7161,37202,66845
Honda,Civic,2021,11703,3,Severe,1,Rural,1,1,20617,39477,71609
Honda,Civic,2021,15537,4,Total Loss,3,Rural,5,1,14760,126742,291974
Honda,Civic,2015,6539,2,Moderate,3,Highway,11,5,6569,9516,29606
Subaru,Outback,2023,22943,1,Minor,3,Residential,8,0,3564,1697,8385
Jeep,Wrangler,2015,9837,1,Minor,1,Residential,17,0,2582,2584,4901
Subaru,Outback,2015,6853,2,Severe,4,Residential,15,6,18700,6956,48439
BMW,3 Series,2024,53795,4,Total Loss,2,Residential,9,4,51105,66658,156484
Nissan,Altima,2016,7766,1,Minor,1,Urban,0,0,2121,1226,4382
Toyota,Corolla,2016,6461,2,Minor,3,Rural,6,4,1984,8858,15832
Nissan,Altima,2018,9625,2,Minor,1,Urban,4,2,2270,4620,9783
Toyota,Camry,2017,6588,1,Moderate,3,Urban,7,0,6581,1016,12169
Nissan,Altima,2021,18285,2,Severe,3,Residential,9,5,23776,8026,44365
Chevrolet,Silverado,2024,67154,4,Severe,4,Rural,9,2,63350,77756,255897
Jeep,Wrangler,2022,27414,2,Moderate,3,Rural,10,0,14046,11610,46585
Toyota,Camry,2015,6601,1,Minor,3,Highway,14,0,2028,1412,6124
BMW,3 Series,2018,20739,4,Total Loss,1,Residential,6,1,19702,67321,87372
Tesla,Model 3,2020,28584,2,Minor,3,Highway,3,3,6645,4001,25456
Toyota,Camry,2018,12372,4,Severe,2,Highway,12,2,20938,83428,156857
Jeep,Wrangler,2022,24565,2,Moderate,4,Residential,21,2,13106,13644,44112
Honda,Accord,2023,27076,4,Total Loss,4,Residential,12,4,25722,77244,193640
Tesla,Model 3,2018,19662,3,Moderate,2,Urban,4,2,15617,16846,71360
Honda,Accord,2022,23671,3,Severe,2,Urban,12,1,27072,39831,88305
BMW,3 Series,2024,46513,4,Total Loss,3,Highway,1,3,44187,143161,495059
Tesla,Model 3,2023,46214,1,Minor,4,Residential,3,0,9818,2795,22432
Subaru,Outback,2024,31034,4,Total Loss,3,Rural,22,2,29482,60146,193381
Toyota,Corolla,2018,9785,2,Moderate,2,Highway,8,2,7201,10280,33812
Subaru,Outback,2020,14705,3,Severe,3,Residential,18,0,22940,21836,73572
Hyundai,Elantra,2022,15764,3,Moderate,3,Highway,6,4,8546,38602,92355
Nissan,Altima,2024,24625,3,Total Loss,1,Highway,0,1,23393,18874,78278
Jeep,Wrangler,2015,8561,3,Moderate,3,Urban,2,2,7825,38474,88132
Chevrolet,Silverado,2015,14179,2,Minor,3,Residential,23,5,3201,14301,34476
Ford,F-150,2016,10862,1,Minor,2,Highway,1,0,2803,1546,8610
Toyota,Corolla,2018,9354,4,Total Loss,1,Highway,9,1,8886,72458,100087
Hyundai,Elantra,2017,6549,3,Severe,2,Rural,22,0,17947,31806,72395
BMW,3 Series,2016,10883,4,Total Loss,1,Highway,5,2,10338,47433,102901
Tesla,Model Y,2022,36383,4,Total Loss,4,Residential,23,1,34563,70213,253908
BMW,3 Series,2022,38919,2,Moderate,2,Residential,10,3,22513,4380,36613
Mercedes-Benz,C-Class,2016,15710,3,Severe,4,Rural,4,8,30081,12608,113184
Subaru,Outback,2017,9762,2,Moderate,4,Residential,16,8,7635,12171,31079
Honda,Accord,2017,10406,1,Minor,4,Residential,4,0,2384,3525,10678
Nissan,Altima,2019,9966,1,Minor,4,Highway,8,0,2297,1058,7257
BMW,3 Series,2018,15830,1,Minor,1,Highway,1,0,3874,2991,11016
Nissan,Altima,2019,11623,4,Total Loss,3,Highway,0,4,11041,93918,240419
Tesla,Model 3,2018,19995,4,Severe,3,Urban,4,6,36594,91332,305467
Chevrolet,Silverado,2024,61777,2,Moderate,2,Rural,13,4,27239,4406,46689
Nissan,Altima,2018,11076,2,Moderate,3,Residential,23,6,7658,12767,37675
Nissan,Altima,2019,12525,1,Minor,4,Rural,2,0,2502,1966,9197
Honda,Accord,2016,9141,1,Minor,4,Urban,5,0,2276,2402,12583
Tesla,Model 3,2022,37432,1,Minor,2,Rural,8,0,8237,1359,14250
Subaru,Outback,2018,9703,3,Severe,4,Highway,9,0,20239,28726,137843
Jeep,Wrangler,2022,30642,3,Severe,1,Highway,13,2,35223,18439,66531
Ford,F-150,2015,13402,1,Minor,2,Residential,21,0,3108,3342,8475
Hyundai,Elantra,2019,12203,3,Severe,4,Residential,12,3,20491,36907,115155
Jeep,Wrangler,2016,9659,3,Total Loss,3,Highway,6,4,9176,22135,75743
Ford,F-150,2017,15718,4,Total Loss,1,Rural,23,2,14932,76447,126655
Honda,Civic,2022,22107,3,Severe,3,Rural,9,2,25611,29155,93637
Honda,Accord,2015,8175,1,Minor,1,Urban,1,0,2194,2113,5053
Mercedes-Benz,C-Class,2020,27560,3,Total Loss,4,Highway,15,3,26182,16760,117782
Subaru,Outback,2022,24222,3,Severe,2,Rural,4,3,28079,43564,130403
Honda,Accord,2018,9134,2,Moderate,4,Residential,17,8,7329,9269,26499
Tesla,Model Y,2020,32423,2,Moderate,1,Residential,17,2,22508,12836,29216
Subaru,Outback,2015,6590,3,Severe,4,Residential,18,2,18558,30570,84845
Ford,F-150,2023,29311,3,Total Loss,3,Urban,5,3,27845,29299,123993
Tesla,Model 3,2019,21219,2,Minor,4,Rural,12,5,5319,9212,30746
Toyota,Camry,2017,9212,4,Total Loss,4,Rural,14,5,8751,82631,197902
Jeep,Wrangler,2015,10026,1,Minor,2,Rural,0,0,2602,2404,7274
Mazda,CX-5,2017,8169,3,Severe,3,Rural,2,5,19166,39223,115162
Toyota,Corolla,2015,6134,3,Moderate,1,Rural,2,1,6380,24833,43730
Mazda,CX-5,2017,8545,3,Severe,2,Rural,23,1,19357,36451,93557
Mazda,CX-5,2017,9678,2,Moderate,4,Residential,17,1,7467,4047,20888
BMW,3 Series,2016,14129,4,Severe,1,Residential,4,0,27716,105108,129170
Hyundai,Elantra,2016,7616,1,Minor,2,Highway,19,0,2071,1948,7129
Chevrolet,Silverado,2016,8898,3,Total Loss,3,Highway,12,4,8453,15739,60389
Nissan,Altima,2017,9449,1,Minor,2,Highway,8,0,2255,2006,7158
Mazda,CX-5,2023,26220,2,Moderate,4,Residential,12,8,11686,12948,40901
Subaru,Outback,2019,14163,4,Severe,3,Residential,19,3,22648,103463,206961
Jeep,Wrangler,2020,19123,2,Moderate,2,Highway,16,3,11310,8475,33076
Nissan,Altima,2023,26290,4,Total Loss,3,Urban,1,3,24975,121496,338429
Toyota,Camry,2018,9961,4,Total Loss,4,Urban,17,6,9462,92532,240164
Chevrolet,Silverado,2016,14219,1,Minor,2,Rural,2,0,3206,1558,7188
Hyundai,Elantra,2015,5336,2,Moderate,1,Rural,0,2,6200,10588,18933
Ford,F-150,2019,18958,2,Minor,3,Residential,3,3,3774,11259,27917
Toyota,Camry,2018,13180,3,Severe,3,Residential,9,6,21326,15339,53169
BMW,3 Series,2016,13173,1,Moderate,1,Residential,5,0,10927,3281,13461
Mazda,CX-5,2020,15889,2,Severe,4,Highway,18,5,23103,7771,71727
Mercedes-Benz,C-Class,2021,36801,1,Minor,4,Highway,12,0,7388,1496,20546
Tesla,Model Y,2023,55080,2,Moderate,1,Urban,8,1,34743,6371,45126
BMW,3 Series,2019,23816,4,Total Loss,4,Residential,2,8,22625,66611,202737
Honda,Accord,2020,12383,2,Moderate,2,Rural,23,2,8157,7675,24324
Hyundai,Elantra,2021,11969,1,Minor,3,Rural,23,0,2397,3392,10613
Tesla,Model 3,2021,32400,4,Severe,4,Rural,15,7,49992,110528,298230
Tesla,Model Y,2020,26068,3,Moderate,3,Residential,19,2,19076,12716,53058
Hyundai,Elantra,2021,11586,2,Minor,4,Urban,2,6,2368,4079,15467
Chevrolet,Silverado,2022,30313,3,Total Loss,4,Highway,6,7,28797,36754,149987
Hyundai,Elantra,2022,16731,1,Minor,1,Urban,13,0,2754,1072,4036
Mercedes-Benz,C-Class,2020,21276,1,Minor,1,Urban,13,0,4904,3006,8314
Mazda,CX-5,2024,34815,4,Total Loss,3,Highway,6,3,33074,45673,174038
Tesla,Model Y,2022,45880,3,Total Loss,4,Rural,19,4,43586,14139,123095
Ford,F-150,2018,20270,2,Minor,2,Highway,23,3,3932,12433,37042
Chevrolet,Silverado,2016,17548,4,Total Loss,1,Rural,1,2,16670,93358,147430
Jeep,Wrangler,2018,15566,4,Severe,1,Rural,19,2,25273,135318,169163
Nissan,Altima,2021,15466,4,Severe,1,Rural,6,0,22423,97230,109782
Honda,Civic,2023,16723,2,Severe,1,Highway,22,0,23027,6588,40675
Tesla,Model Y,2023,53019,3,Moderate,4,Urban,16,4,33630,24685,143152
Hyundai,Elantra,2024,23538,4,Total Loss,1,Highway,9,2,22361,79745,154381
Nissan,Altima,2016,7986,3,Severe,1,Residential,16,2,18833,36920,48267
Subaru,Outback,2015,5987,2,Moderate,4,Rural,17,7,6616,13206,34750
Subaru,Outback,2018,10858,2,Moderate,4,Residential,2,8,7931,10621,38928
Chevrolet,Silverado,2017,16926,1,Minor,3,Residential,23,0,3531,2102,11177
Tesla,Model 3,2018,17345,3,Moderate,4,Urban,12,7,14366,18356,65630
Subaru,Outback,2024,30893,1,Moderate,4,Rural,21,0,13341,1886,28782
Chevrolet,Silverado,2015,11040,1,Minor,2,Urban,15,0,2824,2380,7768
Nissan,Altima,2018,10467,4,Total Loss,1,Highway,20,0,9943,129442,167911
Toyota,Camry,2019,13008,1,Minor,3,Urban,1,0,2540,2102,9220
Toyota,Camry,2024,20513,3,Severe,2,Rural,17,2,24846,20237,70083
Jeep,Wrangler,2015,7380,1,Moderate,1,Highway,7,0,7435,2716,15308
Jeep,Wrangler,2022,28701,2,Minor,2,Urban,4,4,4657,10362,27896
Honda,Civic,2021,18169,2,Moderate,3,Highway,3,2,9360,14223,64068
BMW,3 Series,2015,10230,1,Minor,1,Highway,3,0,3034,3205,9206
Tesla,Model 3,2024,40246,3,Severe,1,Rural,8,0,58465,16845,84633
Hyundai,Elantra,2022,17891,2,Moderate,3,Rural,12,2,9025,8827,27202
Nissan,Altima,2016,6016,2,Moderate,3,Rural,6,2,6443,5624,22103
Subaru,Outback,2017,9809,1,Minor,2,Highway,9,0,2382,3336,10994
Tesla,Model Y,2024,50603,1,Minor,3,Urban,22,0,10608,1018,21879
Toyota,Camry,2021,19701,2,Minor,4,Highway,4,6,3076,6964,25616
Nissan,Altima,2024,26407,4,Total Loss,4,Residential,15,3,25086,76537,159979
Jeep,Wrangler,2020,16163,4,Total Loss,4,Rural,5,6,15354,84161,240849
Mercedes-Benz,C-Class,2019,24137,1,Minor,1,Rural,23,0,5361,2932,9427
Mercedes-Benz,C-Class,2020,22786,1,Minor,3,Rural,14,0,5145,1254,10648
Jeep,Wrangler,2024,30395,3,Total Loss,2,Rural,8,3,28875,17053,56554
Chevrolet,Silverado,2021,24180,2,Moderate,2,Rural,21,0,13704,5320,21232
Hyundai,Elantra,2023,15960,1,Moderate,2,Residential,15,0,8591,3502,13356
Mazda,CX-5,2019,11613,2,Severe,2,Residential,0,0,20922,8893,44071
Honda,Civic,2018,10460,1,Minor,4,Urban,17,0,2336,1533,7199
Tesla,Model 3,2018,15354,3,Severe,3,Highway,1,2,31582,15004,136657
Toyota,Corolla,2018,8840,2,Severe,3,Residential,19,5,18978,9359,40884
BMW,3 Series,2021,25990,2,Moderate,1,Rural,10,1,16695,11328,29959
Nissan,Altima,2024,31503,1,Minor,2,Urban,18,0,4020,2107,8296
BMW,3 Series,2017,12696,1,Minor,4,Urban,17,0,3404,3597,16448
Ford,F-150,2017,20471,4,Total Loss,1,Rural,23,2,19447,51120,84970
Nissan,Altima,2023,19866,2,Severe,2,Urban,3,1,24535,5770,54952
BMW,3 Series,2020,18324,3,Total Loss,4,Rural,11,0,17407,17746,68860
Toyota,Corolla,2017,8045,2,Severe,3,Urban,22,1,18620,4786,44876
Jeep,Wrangler,2019,13220,1,Minor,2,Residential,21,0,2954,3385,7058
Toyota,Corolla,2015,4568,3,Moderate,3,Highway,3,6,6027,32988,112312
Subaru,Outback,2016,8056,2,Severe,4,Residential,15,6,19350,8251,43457
Ford,F-150,2023,31306,1,Minor,1,Rural,8,0,5256,1335,6380
Honda,Civic,2019,9495,2,Minor,3,Residential,19,5,2259,4811,8828
Mercedes-Benz,C-Class,2015,10593,4,Total Loss,3,Rural,17,0,10063,102821,176161
Mazda,CX-5,2017,10826,4,Severe,3,Rural,17,6,20521,116736,198335
Mazda,CX-5,2018,9560,1,Minor,2,Highway,5,0,2312,3310,12190
Mercedes-Benz,C-Class,2021,25229,4,Total Loss,4,Urban,3,7,23967,132473,348639
Honda,Civic,2023,21919,4,Severe,4,Highway,23,4,25521,50275,216558
Chevrolet,Silverado,2022,41555,4,Severe,2,Rural,8,4,44919,113013,223085
Jeep,Wrangler,2020,16923,3,Severe,4,Highway,14,4,26169,29044,148180
Chevrolet,Silverado,2017,14921,2,Minor,1,Rural,17,2,3290,4250,8607
Tesla,Model Y,2020,28828,1,Minor,2,Urban,22,0,6689,1571,13173
BMW,3 Series,2015,11177,2,Moderate,1,Rural,2,2,10029,12370,25381
Toyota,Corolla,2022,16562,4,Total Loss,3,Rural,23,1,15733,66783,186829
Honda,Accord,2022,24549,3,Total Loss,4,Highway,12,4,23321,18289,126393
Jeep,Wrangler,2016,9573,1,Minor,3,Highway,8,0,2553,2832,11304
Jeep,Wrangler,2022,31543,4,Total Loss,4,Highway,23,4,29965,86289,301479
Tesla,Model Y,2023,52833,1,Moderate,4,Highway,21,0,33529,1638,97440
Tesla,Model 3,2020,22570,2,Minor,2,Highway,20,0,5562,11984,31406
Toyota,Camry,2017,8417,2,Moderate,3,Highway,9,3,7020,9770,34869
Chevrolet,Silverado,2022,28418,2,Moderate,2,Urban,14,1,15230,6140,30633
Honda,Civic,2021,12124,2,Minor,4,Highway,3,8,2469,14387,53627
Mercedes-Benz,C-Class,2018,21572,3,Severe,3,Urban,6,1,35709,38046,155059
Mercedes-Benz,C-Class,2021,32072,4,Total Loss,4,Highway,13,0,30468,83961,337212
Subaru,Outback,2017,8432,1,Minor,4,Residential,16,0,2258,2666,8705
Nissan,Altima,2024,20392,2,Severe,3,Highway,5,1,24788,13946,85093
Hyundai,Elantra,2015,5564,1,Minor,3,Urban,20,0,1917,1599,5611
Toyota,Corolla,2023,19199,3,Total Loss,2,Highway,18,0,18239,24040,86315
Tesla,Model Y,2021,33584,2,Severe,1,Highway,3,2,51270,10881,86435
Mazda,CX-5,2023,24419,3,Severe,3,Urban,17,2,27453,17983,94006
Jeep,Wrangler,2021,21052,1,Minor,4,Rural,21,0,3815,1192,10783
Jeep,Wrangler,2017,11589,3,Severe,2,Rural,18,3,22648,23275,56029
Honda,Accord,2023,24763,2,Severe,2,Rural,12,3,27629,5270,41819
Jeep,Wrangler,2016,8206,1,Minor,4,Urban,5,0,2402,1766,11879
Hyundai,Elantra,2017,7537,1,Minor,4,Rural,4,0,2065,3501,12768
Jeep,Wrangler,2021,21166,4,Total Loss,1,Highway,11,2,20107,56255,104062
Tesla,Model Y,2023,42488,4,Severe,4,Highway,3,2,60887,69355,337626
Tesla,Model 3,2023,45905,2,Severe,1,Urban,16,0,64577,11127,80715
Toyota,Camry,2019,9623,1,Minor,4,Highway,18,0,2269,3552,13646
Tesla,Model Y,2022,36674,1,Moderate,4,Highway,12,0,24803,1816,61622
Hyundai,Elantra,2015,6167,1,Minor,1,Residential,22,0,1962,3202,5710
Jeep,Wrangler,2019,13002,4,Total Loss,4,Highway,1,2,12351,87980,279211
Mercedes-Benz,C-Class,2021,27591,4,Total Loss,3,Rural,2,5,26211,91973,251455
Hyundai,Elantra,2016,7203,3,Total Loss,2,Highway,19,2,6842,14335,39574
BMW,3 Series,2020,18643,4,Severe,4,Rural,9,3,31778,141395,290567
Subaru,Outback,2016,6943,4,Total Loss,3,Rural,13,5,6595,74565,132613
Subaru,Outback,2024,25321,3,Severe,3,Rural,0,0,28673,37203,114828
Toyota,Corolla,2022,19493,2,Severe,4,Residential,16,6,23771,4791,53418
Ford,F-150,2024,59945,2,Moderate,2,Residential,4,3,26580,8801,50533
Mercedes-Benz,C-Class,2017,12987,2,Minor,3,Urban,2,4,3577,10747,32846
BMW,3 Series,2023,31829,3,Severe,2,Urban,10,4,43646,42361,119886
Tesla,Model 3,2022,29293,3,Moderate,3,Urban,13,6,20818,13127,67625
Subaru,Outback,2020,14086,1,Minor,3,Urban,22,0,2767,1313,7513
Honda,Civic,2016,8358,1,Minor,1,Residential,9,0,2168,3116,4193
Nissan,Altima,2022,21058,2,Minor,4,Urban,18,4,3184,10766,32612
BMW,3 Series,2023,38593,2,Moderate,3,Highway,15,4,22366,10169,71229
Subaru,Outback,2019,16705,1,Minor,3,Rural,19,0,3003,1412,7565
Jeep,Wrangler,2020,19988,3,Severe,4,Urban,1,0,28192,24795,121317
Chevrolet,Silverado,2015,10459,4,Total Loss,4,Rural,8,8,9936,93690,209859
BMW,3 Series,2020,19094,3,Severe,2,Urban,14,1,32184,29380,104218
Honda,Accord,2022,18886,1,Moderate,4,Highway,9,0,9815,3220,31134
Jeep,Wrangler,2021,18576,1,Minor,2,Rural,11,0,3543,3423,7765
Toyota,Corolla,2018,8855,4,Total Loss,2,Urban,7,1,8412,101811,162962
BMW,3 Series,2015,10891,3,Severe,1,Urban,23,1,24801,13192,51754
Tesla,Model 3,2019,20435,1,Minor,4,Rural,20,0,5178,1736,14142
Honda,Civic,2018,9819,3,Severe,4,Urban,8,6,19713,43916,151856
Ford,F-150,2022,42893,4,Total Loss,1,Residential,14,1,40748,128610,139397
BMW,3 Series,2016,12224,4,Total Loss,1,Residential,11,0,11612,44463,58112
Tesla,Model 3,2020,25276,1,Moderate,1,Highway,3,0,18649,1156,27230
Toyota,Camry,2024,29346,2,Moderate,1,Urban,12,2,12043,12831,25125
Chevrolet,Silverado,2020,27232,3,Severe,4,Highway,9,3,34607,25480,136351
Honda,Civic,2017,8115,2,Moderate,3,Rural,0,0,6947,7515,27587
Mazda,CX-5,2020,17937,4,Severe,1,Highway,5,0,24147,91004,167537
Toyota,Camry,2018,9691,2,Minor,3,Residential,10,3,2275,14143,20343
Jeep,Wrangler,2019,12504,2,Moderate,2,Rural,16,0,9126,13548,27708
Nissan,Altima,2017,8860,4,Total Loss,1,Highway,4,2,8417,116101,178260
Toyota,Corolla,2022,15222,2,Severe,3,Highway,22,1,21849,11350,85065
Nissan,Altima,2016,8144,3,Severe,1,Residential,20,1,18909,16256,35833
Tesla,Model Y,2024,64984,3,Moderate,2,Urban,10,1,40091,34331,113188
Honda,Accord,2019,16250,4,Total Loss,4,Urban,1,6,15437,77209,226332
Toyota,Corolla,2020,12203,1,Minor,3,Rural,9,0,2415,2386,8631
Chevrolet,Silverado,2022,36910,2,Moderate,4,Rural,16,8,18287,12055,51731
Subaru,Outback,2020,15728,2,Minor,3,Residential,9,5,2915,12322,19118
Hyundai,Elantra,2022,19400,1,Moderate,1,Urban,9,0,9365,2073,13085
Mercedes-Benz,C-Class,2018,15569,3,Severe,4,Residential,4,1,29946,37019,156519
Nissan,Altima,2023,17715,3,Severe,3,Urban,3,4,23503,42144,164110
Toyota,Camry,2024,22661,4,Severe,4,Residential,17,4,25877,81206,193878
Mazda,CX-5,2015,7460,3,Severe,2,Rural,17,4,18804,43141,82134
Mercedes-Benz,C-Class,2018,16265,3,Moderate,3,Urban,13,1,12807,26239,77897
Ford,F-150,2020,21077,1,Minor,1,Residential,19,0,4029,3343,6531
Toyota,Corolla,2015,4589,4,Total Loss,3,Residential,22,6,4359,137888,259528
Toyota,Camry,2018,10292,4,Total Loss,4,Urban,5,5,9777,60195,205754
Honda,Civic,2023,17235,4,Total Loss,1,Residential,20,0,16373,77543,93102
Nissan,Altima,2019,11974,1,Minor,2,Highway,17,0,2457,3580,8710
Mercedes-Benz,C-Class,2017,13319,2,Moderate,2,Urban,5,2,11393,12838,43934
Honda,Accord,2020,13757,1,Minor,4,Urban,20,0,2669,2134,11479
Mazda,CX-5,2016,8979,1,Minor,3,Highway,20,0,2263,1127,6582
Tesla,Model 3,2023,39791,1,Minor,3,Rural,15,0,8662,2554,19196
Subaru,Outback,2022,23108,3,Severe,4,Rural,8,5,27478,25829,105005
Subaru,Outback,2015,7187,3,Severe,2,Urban,8,3,18880,34633,91102
Tesla,Model Y,2021,34655,3,Severe,4,Residential,7,7,52427,41191,185012
Ford,F-150,2019,17328,1,Minor,2,Residential,13,0,3579,1166,5989
Honda,Accord,2020,11667,4,Severe,1,Highway,8,0,20950,54374,88485
Mercedes-Benz,C-Class,2019,23224,4,Total Loss,1,Rural,18,1,22062,63191,89633
Mazda,CX-5,2020,18122,1,Minor,3,Residential,20,0,3040,1493,6786
Ford,F-150,2015,10763,4,Total Loss,2,Urban,22,0,10224,43789,93358
Hyundai,Elantra,2016,5175,2,Moderate,4,Urban,7,5,6164,4830,25260
Honda,Accord,2024,28397,2,Severe,1,Rural,10,1,29482,12536,46031
Hyundai,Elantra,2019,8424,3,Total Loss,4,Residential,19,7,8002,35576,82697
Toyota,Corolla,2015,6346,2,Minor,1,Rural,6,0,1975,6142,7833
Honda,Accord,2019,10066,2,Minor,4,Urban,1,0,2355,6214,23096
Toyota,Corolla,2017,8015,3,Total Loss,4,Urban,22,6,7614,16255,75022
Toyota,Camry,2019,14147,3,Severe,2,Highway,16,3,21790,44616,100642
Toyota,Corolla,2016,5089,2,Moderate,4,Residential,12,6,6145,13580,39292
Toyota,Camry,2016,5726,4,Total Loss,2,Rural,23,3,5439,87983,164289
Tesla,Model 3,2024,50548,3,Severe,2,Rural,1,1,69591,31089,170509
Toyota,Corolla,2022,15018,3,Total Loss,4,Rural,3,7,14267,33183,103288
Hyundai,Elantra,2020,13002,2,Moderate,3,Rural,4,2,7925,10084,32767
Mercedes-Benz,C-Class,2023,47372,2,Moderate,4,Residential,19,3,27738,8947,55745
Tesla,Model Y,2024,53140,3,Severe,3,Urban,15,4,72391,12931,147787
Mazda,CX-5,2021,19005,3,Severe,2,Residential,4,2,24692,36528,81435
Chevrolet,Silverado,2024,33378,1,Minor,1,Urban,14,0,5505,1574,7364
Tesla,Model Y,2020,31420,1,Minor,1,Highway,17,0,7155,1547,11898
Jeep,Wrangler,2023,37727,2,Severe,1,Urban,5,0,39899,12991,77064
BMW,3 Series,2017,15324,3,Severe,3,Rural,13,1,28791,12755,79009
Toyota,Corolla,2016,7119,3,Total Loss,4,Urban,4,3,6763,20988,76611
Ford,F-150,2023,25510,2,Moderate,1,Rural,1,2,14183,12875,29679
Chevrolet,Silverado,2017,14298,4,Total Loss,2,Highway,3,1,13583,80329,192194
Hyundai,Elantra,2023,19319,4,Severe,4,Urban,17,8,23693,94283,290536
Mazda,CX-5,2021,15604,4,Severe,3,Highway,0,6,22958,114605,357587
Mercedes-Benz,C-Class,2021,30027,2,Minor,1,Rural,23,1,6304,9910,21940
Honda,Civic,2017,7965,4,Total Loss,4,Rural,19,4,7566,115416,267007
Toyota,Camry,2023,27525,3,Total Loss,4,Residential,17,4,26148,36550,105473
Mazda,CX-5,2021,20839,4,Severe,2,Highway,9,2,25627,80296,204182
Mercedes-Benz,C-Class,2022,33419,1,Minor,1,Residential,5,0,6847,2146,9103
Toyota,Camry,2017,9101,2,Moderate,4,Highway,4,3,7184,11993,61438
Jeep,Wrangler,2015,8750,2,Minor,4,Rural,21,7,2462,5814,17210
Tesla,Model Y,2021,30611,1,Minor,1,Residential,2,0,7009,2660,11594
Toyota,Camry,2024,20433,2,Severe,2,Urban,20,2,24807,14392,55933
Honda,Civic,2019,12087,1,Minor,3,Highway,4,0,2466,1002,7545
Toyota,Camry,2015,6614,2,Minor,1,Rural,22,2,2029,10860,14404
Nissan,Altima,2020,10871,4,Total Loss,3,Residential,13,2,10327,121298,220335
Mazda,CX-5,2016,7413,3,Total Loss,3,Highway,16,2,7042,26543,72827
Subaru,Outback,2018,9558,2,Severe,3,Urban,23,2,20161,5008,49224
Honda,Civic,2016,5636,1,Moderate,4,Residential,3,0,6352,2740,19495
Jeep,Wrangler,2020,17503,1,Minor,4,Residential,4,0,3425,3495,14875
Honda,Accord,2024,29342,1,Minor,4,Highway,14,0,3994,2015,16845
Toyota,Corolla,2018,8323,2,Moderate,4,Rural,0,6,6872,6340,32439
Tesla,Model 3,2020,23874,4,Total Loss,3,Rural,17,4,22680,49438,105962
Hyundai,Elantra,2023,19265,2,Minor,1,Highway,4,0,2944,6479,13850
Mazda,CX-5,2018,9279,4,Total Loss,4,Rural,17,7,8815,56679,136049
Hyundai,Elantra,2020,11360,4,Total Loss,3,Residential,13,3,10792,129108,222238
Mazda,CX-5,2020,14747,2,Moderate,1,Residential,23,2,8760,10261,22012
Tesla,Model Y,2024,55877,1,Moderate,2,Highway,5,0,35173,1977,85118
Hyundai,Elantra,2018,9515,2,Moderate,4,Urban,16,8,7140,10832,36491
Honda,Civic,2017,8842,3,Severe,1,Rural,23,1,19244,14450,50910
Tesla,Model Y,2020,30237,2,Moderate,2,Residential,15,0,21327,7223,32162
Subaru,Outback,2021,21856,3,Severe,3,Urban,12,3,26802,23309,83068
Mazda,CX-5,2016,6606,1,Minor,4,Highway,20,0,2061,2351,11183
Tesla,Model 3,2018,19065,3,Severe,4,Highway,20,0,35590,44499,184631
Nissan,Altima,2019,10431,4,Severe,4,Rural,2,1,20006,104709,255616
Tesla,Model 3,2023,36091,4,Total Loss,3,Residential,7,5,34286,109796,234182
Mazda,CX-5,2021,18444,3,Moderate,2,Residential,5,1,9703,42510,70954
Chevrolet,Silverado,2022,35944,4,Severe,3,Residential,18,5,40879,140634,276818
Tesla,Model 3,2018,18259,1,Moderate,4,Rural,12,0,14859,2290,36100
Hyundai,Elantra,2019,8546,1,Minor,3,Highway,8,0,2140,1806,8307
Mercedes-Benz,C-Class,2021,29912,2,Minor,1,Urban,0,0,6285,13084,24834
Hyundai,Elantra,2020,11983,3,Moderate,1,Rural,22,0,7696,39313,65472
Nissan,Altima,2023,17237,2,Severe,2,Rural,15,3,23273,9364,44100
BMW,3 Series,2021,28640,4,Severe,2,Residential,2,2,40776,142912,270447
Chevrolet,Silverado,2017,19930,1,Minor,2,Urban,16,0,3891,3558,11775
Honda,Accord,2018,8314,4,Total Loss,1,Urban,11,2,7898,143296,165325
Honda,Accord,2017,11538,3,Moderate,4,Urban,2,8,7942,30739,118393
BMW,3 Series,2021,31351,2,Severe,1,Urban,13,1,43215,5307,45835
BMW,3 Series,2017,12759,4,Total Loss,2,Rural,15,4,12121,103648,166605
Honda,Accord,2019,12018,1,Moderate,2,Highway,9,0,8064,2959,17812
Honda,Accord,2023,26035,4,Total Loss,4,Urban,2,8,24733,125350,421017
Honda,Civic,2022,17031,3,Severe,4,Highway,22,1,23174,32074,172119
Mercedes-Benz,C-Class,2016,14915,2,Moderate,4,Urban,22,5,12159,11132,60762
Honda,Accord,2019,16682,4,Severe,4,Residential,16,4,23507,129767,296095
Honda,Civic,2020,11337,4,Total Loss,3,Rural,7,5,10770,142373,260746
Chevrolet,Silverado,2023,49679,2,Moderate,1,Rural,7,1,22884,11364,38463
Subaru,Outback,2022,19281,4,Total Loss,4,Highway,14,2,18316,56276,168863
Mazda,CX-5,2019,13195,2,Minor,3,Residential,14,4,2621,9068,19199
Toyota,Corolla,2017,7990,1,Minor,1,Highway,1,0,2099,2618,7433
